,close,close_dt,commodity,contract,count,direction,holding_period,multiplier,open,open_dt,pnl,rtn,tcost,tcost_mode,tcost_unit,volume
125,5715.0,2016-08-31,V,V.DCE_MC_LastMonthEnd,75,1.0,2,5,5795.0,2016-08-30,-1600.0,-0.013805004314063849,0,,,4.0
126,5465.0,2016-09-02,V,V.DCE_MC_LastMonthEnd,76,1.0,5,5,5875.0,2016-08-29,-10250.0,-0.06978723404255319,0,,,5.0
127,5465.0,2016-09-02,V,V.DCE_MC_LastMonthEnd,77,1.0,2,5,5450.0,2016-09-01,1950.0,0.0027522935779816515,0,,,26.0
128,7215.0,2017-08-17,V,V.DCE_MC_LastMonthEnd,78,-1.0,2,5,7215.0,2017-08-16,-0.0,-0.0,0,,,5.0
129,7250.0,2017-08-18,V,V.DCE_MC_LastMonthEnd,79,-1.0,3,5,7215.0,2017-08-16,-1575.0,-0.004851004851004851,0,,,9.0
130,7500.0,2017-08-21,V,V.DCE_MC_LastMonthEnd,80,-1.0,6,5,7215.0,2017-08-16,-1425.0,-0.0395010395010395,0,,,1.0
131,7500.0,2017-08-22,V,V.DCE_MC_LastMonthEnd,81,-1.0,7,5,7215.0,2017-08-16,-4275.0,-0.0395010395010395,0,,,3.0
132,7495.0,2017-08-25,V,V.DCE_MC_LastMonthEnd,82,-1.0,10,5,7215.0,2017-08-16,-1400.0,-0.038808038808038806,0,,,1.0
133,7475.0,2017-08-24,V,V.DCE_MC_LastMonthEnd,83,-1.0,2,5,7495.0,2017-08-23,300.0,0.00266844563042028,0,,,3.0
134,7495.0,2017-08-25,V,V.DCE_MC_LastMonthEnd,84,-1.0,3,5,7495.0,2017-08-23,-0.0,-0.0,0,,,3.0
135,7505.0,2017-08-28,V,V.DCE_MC_LastMonthEnd,85,-1.0,13,5,7215.0,2017-08-16,-1450.0,-0.040194040194040194,0,,,1.0
136,7590.0,2017-08-29,V,V.DCE_MC_LastMonthEnd,86,-1.0,14,5,7215.0,2017-08-16,-1875.0,-0.05197505197505198,0,,,1.0
137,7640.0,2017-09-01,V,V.DCE_MC_LastMonthEnd,87,-1.0,17,5,7215.0,2017-08-16,-19125.0,-0.058905058905058906,0,,,9.0
138,7405.0,2017-08-31,V,V.DCE_MC_LastMonthEnd,88,-1.0,2,5,7595.0,2017-08-30,950.0,0.025016458196181698,0,,,1.0
139,7640.0,2017-09-01,V,V.DCE_MC_LastMonthEnd,89,-1.0,3,5,7595.0,2017-08-30,-450.0,-0.005924950625411455,0,,,2.0
140,7950.0,2017-09-04,V,V.DCE_MC_LastMonthEnd,90,-1.0,20,5,7215.0,2017-08-16,-1172325.0,-0.10187110187110188,0,,,319.0
141,6825.0,2018-09-04,V,V.DCE_MC_LastMonthEnd,91,1.0,20,5,7265.0,2018-08-16,-745800.0,-0.060564349621472814,0,,,339.0
142,6825.0,2018-09-04,V,V.DCE_MC_LastMonthEnd,92,1.0,19,5,7350.0,2018-08-17,-13125.0,-0.07142857142857142,0,,,5.0
143,7160.0,2018-08-22,V,V.DCE_MC_LastMonthEnd,93,1.0,2,5,7275.0,2018-08-21,-1150.0,-0.015807560137457044,0,,,2.0
144,6825.0,2018-09-04,V,V.DCE_MC_LastMonthEnd,94,1.0,15,5,7275.0,2018-08-21,-4500.0,-0.061855670103092786,0,,,2.0
145,6825.0,2018-09-04,V,V.DCE_MC_LastMonthEnd,95,1.0,13,5,7235.0,2018-08-23,-16400.0,-0.056668970283344854,0,,,8.0
146,6825.0,2018-09-04,V,V.DCE_MC_LastMonthEnd,96,1.0,12,5,7085.0,2018-08-24,-1300.0,-0.03669724770642202,0,,,1.0
147,7020.0,2018-08-30,V,V.DCE_MC_LastMonthEnd,97,1.0,3,5,7070.0,2018-08-28,-250.0,-0.007072135785007072,0,,,1.0
148,7020.0,2018-08-30,V,V.DCE_MC_LastMonthEnd,98,1.0,2,5,7020.0,2018-08-29,0.0,0.0,0,,,1.0
149,6825.0,2018-09-04,V,V.DCE_MC_LastMonthEnd,99,1.0,5,5,7035.0,2018-08-31,-4200.0,-0.029850746268656716,0,,,4.0
150,6825.0,2018-09-04,V,V.DCE_MC_LastMonthEnd,100,1.0,2,5,6865.0,2018-09-03,-1600.0,-0.005826656955571741,0,,,8.0
151,10050.0,2013-04-24,L,L.DCE_MC_LastMonthEnd,1,-1.0,9,5,10045.0,2013-04-16,-25.0,-0.0004977600796416127,0,,,1.0
152,10080.0,2013-04-22,L,L.DCE_MC_LastMonthEnd,2,-1.0,6,5,10080.0,2013-04-17,-0.0,-0.0,0,,,1.0
153,10015.0,2013-04-19,L,L.DCE_MC_LastMonthEnd,3,-1.0,2,5,9920.0,2013-04-18,-1425.0,-0.009576612903225807,0,,,3.0
154,10080.0,2013-04-22,L,L.DCE_MC_LastMonthEnd,4,-1.0,5,5,9920.0,2013-04-18,-800.0,-0.016129032258064516,0,,,1.0
155,10115.0,2013-04-25,L,L.DCE_MC_LastMonthEnd,5,-1.0,10,5,10045.0,2013-04-16,-1750.0,-0.006968641114982578,0,,,5.0
156,10200.0,2013-04-26,L,L.DCE_MC_LastMonthEnd,6,-1.0,11,5,10045.0,2013-04-16,-775.0,-0.015430562468889995,0,,,1.0
