,fut_close,direction,dt_open,remain_close,remain_open,basis_close,basis_open,fut_slope,spot_open,spot_close,basis_rtn,count,spot_slope,fut_rtn,slope_diff,dt_close,cmd,fut_open
7,11165.0,-1,2011-04-06,17.0,40.0,-115.0,-255.0,-35.943609022556394,10800.0,11050.0,140.0,7,-22.669172932330827,-110.0,13.274436090225567,2011-04-29,L,11055.0
8,10520.0,-1,2011-08-08,15.0,38.0,-170.0,-10.0,-7.203007518796992,10450.0,10350.0,-160.0,8,12.142857142857142,-60.0,19.345864661654133,2011-08-31,L,10460.0
9,9100.0,-1,2011-12-08,18.0,40.0,100.0,-85.0,-6.172932330827067,9150.0,9200.0,185.0,9,-10.601503759398497,135.0,-4.42857142857143,2011-12-30,L,9235.0
10,10230.0,-1,2012-04-05,18.0,40.0,-130.0,-125.0,-3.1278195488721803,10300.0,10100.0,-5.0,10,8.68421052631579,195.0,11.81203007518797,2012-04-27,L,10425.0
11,10620.0,-1,2012-08-06,14.0,39.0,-270.0,-45.0,-9.139097744360901,10050.0,10350.0,-225.0,11,-8.082706766917294,-525.0,1.0563909774436073,2012-08-31,L,10095.0
12,11145.0,-1,2012-12-10,17.0,38.0,-45.0,-355.0,50.47744360902256,10950.0,11100.0,310.0,12,15.864661654135338,160.0,-34.61278195488722,2012-12-31,L,11305.0
13,10235.0,-1,2013-04-08,19.0,37.0,-35.0,-145.0,2.075187969924812,10450.0,10200.0,110.0,13,2.255639097744361,360.0,0.18045112781954886,2013-04-26,L,10595.0
14,12270.0,-1,2013-08-05,14.0,39.0,-820.0,-320.0,44.24812030075188,11350.0,11450.0,-500.0,14,34.774436090225564,-600.0,-9.473684210526315,2013-08-30,L,11670.0
15,11990.0,1,2013-12-06,15.0,40.0,-240.0,10.0,42.357142857142854,12000.0,11750.0,250.0,15,25.263157894736842,0.0,-17.09398496240601,2013-12-31,L,11990.0
16,11565.0,-1,2014-04-08,16.0,38.0,-15.0,-20.0,52.3609022556391,11400.0,11550.0,5.0,16,37.067669172932334,-145.0,-15.293233082706763,2014-04-30,L,11420.0
17,11005.0,-1,2014-08-06,17.0,40.0,-5.0,0.0,-10.973684210526315,11550.0,11000.0,-5.0,17,-5.676691729323308,545.0,5.296992481203007,2014-08-29,L,11550.0
18,9860.0,1,2014-12-08,16.0,39.0,-360.0,390.0,-53.13157894736842,9450.0,9500.0,750.0,18,-46.72932330827068,800.0,6.4022556390977385,2014-12-31,L,9060.0
19,10895.0,1,2015-04-07,15.0,38.0,-345.0,40.0,56.296992481203006,10100.0,10550.0,385.0,19,56.52255639097744,835.0,0.2255639097744364,2015-04-30,L,10060.0
20,9125.0,-1,2015-08-07,16.0,40.0,-225.0,-155.0,-40.76315789473684,8750.0,8900.0,-70.0,20,-34.17293233082707,-220.0,6.590225563909776,2015-08-31,L,8905.0
21,8845.0,1,2015-12-07,15.0,39.0,-145.0,170.0,26.32330827067669,8450.0,8700.0,315.0,21,16.75187969924812,565.0,-9.57142857142857,2015-12-31,L,8280.0
22,8515.0,1,2016-04-06,17.0,40.0,185.0,210.0,21.195488721804512,9350.0,8700.0,25.0,22,32.18796992481203,-625.0,10.992481203007518,2016-04-29,L,9140.0
23,8990.0,-1,2016-08-05,14.0,40.0,-90.0,-105.0,-0.7218045112781954,9050.0,8900.0,15.0,23,-1.8796992481203008,165.0,-1.1578947368421053,2016-08-31,L,9155.0
24,9780.0,-1,2016-12-07,17.0,40.0,-30.0,-180.0,-15.996240601503759,9850.0,9750.0,150.0,24,-19.518796992481203,250.0,-3.522556390977444,2016-12-30,L,10030.0
25,8825.0,-1,2017-04-05,17.0,40.0,-25.0,-175.0,-4.774436090225564,9300.0,8800.0,150.0,25,-5.879699248120301,650.0,-1.1052631578947372,2017-04-28,L,9475.0
26,9900.0,-1,2017-08-07,14.0,38.0,-200.0,-125.0,22.05639097744361,9300.0,9700.0,-75.0,26,20.090225563909776,-475.0,-1.9661654135338331,2017-08-31,L,9425.0
27,9560.0,-1,2017-12-06,17.0,40.0,-60.0,-45.0,-9.951127819548873,9580.0,9500.0,-15.0,27,-6.022556390977444,65.0,3.928571428571429,2017-12-29,L,9625.0
28,9255.0,-1,2018-04-09,18.0,36.0,145.0,-45.0,-2.7518796992481205,9250.0,9400.0,190.0,28,0.5639097744360902,40.0,3.3157894736842106,2018-04-27,L,9295.0
29,9480.0,-1,2018-08-06,14.0,39.0,-80.0,-30.0,16.973684210526315,9600.0,9400.0,-50.0,29,15.887218045112782,150.0,-1.0864661654135332,2018-08-31,L,9630.0
1,380.0,1,2016-03-30,10.0,40.0,2.0,24.399999999999977,0.17563909774439593,382.0,382.0,22.399999999999977,1,0.27706766917293235,22.399999999999977,0.10142857142853642,2016-04-29,ZC,357.6
2,389.6,1,2016-07-29,7.0,40.0,113.39999999999998,3.6000000000000227,1.2903759398496066,450.0,503.0,-109.79999999999995,2,2.0466165413533837,-56.799999999999955,0.756240601503777,2016-08-31,ZC,446.4
3,622.6,1,2016-11-30,10.0,40.0,-11.600000000000023,87.79999999999995,-3.565263157894702,666.0,611.0,99.39999999999998,3,-3.293984962406015,44.39999999999998,0.27127819548868715,2016-12-30,ZC,578.2
4,631.6,1,2017-03-29,10.0,40.0,-5.600000000000023,47.0,2.5043609022556392,682.0,626.0,52.60000000000002,4,3.4075187969924814,-3.3999999999999773,0.9031578947368422,2017-04-28,ZC,635.0
