,净值,杠杆倍数,每日PnL,资金占用比例
2016-08-02,0.9944086000000001,1.0000194,314629.999999999,0.06787096169522268
2016-08-03,0.9734717,1.000389,-2093690.0,0.07066946578929824
2016-08-04,0.9808606000000001,0.99963145,738890.0,0.0688014739301385
2016-08-05,0.9861701500000001,0.99909245,530954.9999999997,0.07344258138415567
2016-08-08,0.991063,1.0010095,489285.00000000093,0.07323593454704695
2016-08-09,0.983118,0.9996763,-794499.9999999997,0.0724489786576993
2016-08-10,0.9862037,1.0000428,308569.9999999994,0.07099379975962371
2016-08-11,0.9978670500000001,0.99960485,1166335.0,0.0713738263028126
2016-08-12,0.9981423500000001,1.00088825,27530.0,0.06641907088703329
2016-08-15,0.9980440500000001,0.99957065,-9830.0,0.06887414488368525
2016-08-16,0.9936085,0.9998389,-443555.0,0.06667048440104932
2016-08-17,0.9989731000000001,1.0002848,536460.0,0.06884804605849748
2016-08-18,0.9970857000000001,0.9997263,-188740.0,0.06767427413711781
2016-08-19,0.99331095,0.99977665,-377475.0,0.07045564684452538
2016-08-22,0.9905896500000001,0.9991414,-272129.9999999994,0.06809229028387286
2016-08-23,0.9903047500000001,0.9999434,-28490.000000000582,0.07068131098028159
2016-08-24,0.98714205,0.9995807,-316270.0,0.07341158346967389
2016-08-25,0.9854320000000001,0.99995535,-171005.00000000058,0.0735660253574067
2016-08-26,0.9883918,1.0000778,295980.0,0.07336017559028718
2016-08-29,0.9892221,1.0001484,83029.99999999942,0.07330004151747115
2016-08-30,0.9915485500000001,1.00012795,232645.0,0.06430649966660736
2016-08-31,0.981095,0.9990079,-1045354.9999999988,0.06745825123968628
2016-09-01,0.9893863,0.9995473,829129.9999999994,0.06820799418791225
2016-09-02,0.9916304,0.9993026,224410.0,0.0680261284849678
2016-09-05,0.9999846,0.9987502,835420.0,0.06743150444516846
2016-09-06,1.0033290000000001,0.9991133,334440.0,0.06847367413879196
2016-09-07,0.9815031000000001,1.0004805,-2182590.0,0.06625404647219148
2016-09-08,0.9812775,0.9990252,-22560.0,0.06618236737314369
2016-09-09,0.982974,0.9993387,169650.0,0.06607898784708446
2016-09-12,0.9713447000000001,0.999643,-1162930.0,0.0681879161949409
2016-09-13,0.9655705,1.0003595,-577419.9999999994,0.07380018652185419
2016-09-14,0.97244635,1.00049365,687585.0000000002,0.07332063306114522
2016-09-19,0.96968285,0.9998177,-276350.00000000105,0.0773259081564658
2016-09-20,0.9717992000000001,0.99969715,211634.9999999995,0.07201011844833788
2016-09-21,0.97007085,0.9998894,-172834.99999999948,0.06957025149245542
2016-09-22,0.96764675,0.9992796,-242410.0,0.06842826372330604
2016-09-23,0.97360705,0.9996399,596030.0,0.06801076779384455
2016-09-26,0.9753433,0.99890395,173624.9999999989,0.06784861135561192
2016-09-27,0.9718481,0.99902405,-349519.9999999995,0.06811608470500688
2016-09-28,0.97637425,1.0010467,452614.9999999995,0.06662869591245366
2016-09-29,0.9810669000000001,0.99871845,469265.0000000005,0.06618159169369592
2016-09-30,0.9909153,0.9994655,984840.0,0.06809104067724052
2016-10-10,0.9984821,1.0004578,756680.0000000016,0.06763040419052078
2016-10-11,1.006797,1.00017185,831490.0,0.06456521970168763
2016-10-12,1.0168522,1.0001548,1005520.0,0.06393368721629358
2016-10-13,1.019149,0.99990325,229680.0,0.06745260261257185
2016-10-14,1.01717115,0.9995514,-197785.0,0.06142586476228706
2016-10-17,1.0206130500000001,0.9997051,344190.0,0.06856593201507663
2016-10-18,1.0218490500000001,0.9992053,123600.0,0.06722564648858852
2016-10-19,1.03448785,0.9998127,1263880.0,0.0664463425065843
2016-10-20,1.02884365,1.0004445,-564420.0,0.06685230549850796
2016-10-21,1.02990555,1.0005629,106190.0,0.06800565644102026
2016-10-24,1.03610025,0.9996991,619470.0,0.06754070081538925
2016-10-25,1.0475200500000001,0.9992583,1141980.0,0.0667749328521206
2016-10-26,1.04265585,0.9993204,-486420.00000000047,0.06829027142560991
2016-10-27,1.03588845,1.0003132,-676739.9999999991,0.06880349616795128
2016-10-28,1.04400505,0.9996681,811659.9999999995,0.06822533090237447
2016-10-31,1.04910035,1.0003868,509530.00000000047,0.06794192662313
2016-11-01,1.04082205,1.0002601,-827830.0000000005,0.06847352724704478
2016-11-02,1.04643475,0.99975815,561270.0000000005,0.06568761071820294
2016-11-03,1.04533075,0.99949305,-110400.00000000047,0.06573537944808377
2016-11-04,1.0691826,0.99896995,2385184.9999999995,0.06072714801007799
2016-11-07,1.0816242,0.9981893,1244160.0,0.05997863675757255
2016-11-08,1.0658762,1.0004033,-1574800.0,0.06217424781602217
2016-11-09,1.0658736500000001,0.9997409,-254.99999999906868,0.05862182914457075
2016-11-10,1.06698895,1.0000926,111529.99999999965,0.060919967352989
2016-11-11,1.0497473,1.000482,-1724165.000000001,0.06193434457988128
2016-11-14,1.04951135,1.0001498,-23595.0,0.06551306567575471
2016-11-15,1.06478585,1.0001144,1527450.000000001,0.0645845988655841
2016-11-16,1.07502955,0.9997854,1024370.0000000005,0.06394142188928668
2016-11-17,1.06147415,1.0002646,-1355540.0000000019,0.062442894158091365
2016-11-18,1.07535905,1.0010739,1388490.0,0.06398439944314413
2016-11-21,1.07161525,0.9989849,-374379.99999999907,0.06060132309613922
2016-11-22,1.06448765,0.9995558,-712760.0,0.058691275563413074
2016-11-23,1.06114905,1.0009153,-333860.0,0.06130502307852041
2016-11-24,1.0754648500000001,1.0002882,1431580.0,0.0604486636639031
2016-11-25,1.0677585,0.9997131,-770634.9999999986,0.06086124905584924
2016-11-28,1.07266515,0.99949705,490664.9999999986,0.06058132167340386
2016-11-29,1.0873431500000001,0.99884525,1467800.0000000005,0.05973080439233926
2016-11-30,1.11252025,1.00013105,2517709.9999999995,0.06067540433533683
