日期,LL神华煤化工价格
2010-12-28,11050.0
2010-12-29,11050.0
2010-12-30,11050.0
2010-12-31,11050.0
2011-01-04,11300.0
2011-01-05,11350.0
2011-01-06,11400.0
2011-01-07,11400.0
2011-01-10,11350.0
2011-01-11,11300.0
2011-01-12,11250.0
2011-01-13,11250.0
2011-01-14,11200.0
2011-01-17,11100.0
2011-01-18,11000.0
2011-01-19,11000.0
2011-01-20,11000.0
2011-01-21,11000.0
2011-01-24,11100.0
2011-01-25,11050.0
2011-01-26,10975.0
2011-01-27,10975.0
2011-01-28,10975.0
2011-01-31,10975.0
2011-02-01,10975.0
2011-02-09,11000.0
2011-02-10,11000.0
2011-02-11,11050.0
2011-02-14,11050.0
2011-02-15,11025.0
2011-02-16,11025.0
2011-02-17,11000.0
2011-02-18,11000.0
2011-02-21,11000.0
2011-02-22,10900.0
2011-02-23,10900.0
2011-02-24,10850.0
2011-02-25,10850.0
2011-02-28,11000.0
2011-03-01,11000.0
2011-03-02,11100.0
2011-03-03,11200.0
2011-03-04,11200.0
2011-03-07,11350.0
2011-03-08,11350.0
2011-03-09,11350.0
2011-03-10,11350.0
2011-03-11,11250.0
2011-03-14,11100.0
2011-03-15,10975.0
2011-03-16,10900.0
2011-03-17,10900.0
2011-03-18,10925.0
2011-03-21,11000.0
2011-03-22,11000.0
2011-03-23,11000.0
2011-03-24,11000.0
2011-03-25,11000.0
2011-03-28,10975.0
2011-03-29,10950.0
2011-03-30,10925.0
2011-03-31,10900.0
2011-04-01,10850.0
2011-04-06,10800.0
2011-04-07,10850.0
2011-04-08,10900.0
2011-04-11,11050.0
2011-04-12,11125.0
2011-04-13,11075.0
2011-04-14,11075.0
2011-04-15,11075.0
2011-04-18,11075.0
2011-04-19,11000.0
2011-04-20,11000.0
2011-04-21,11025.0
2011-04-22,11025.0
2011-04-25,11050.0
2011-04-26,11050.0
2011-04-27,11050.0
2011-04-28,11050.0
2011-04-29,11050.0
2011-05-03,11075.0
2011-05-04,11125.0
2011-05-05,11025.0
2011-05-06,10750.0
2011-05-09,10750.0
2011-05-10,10750.0
2011-05-11,10750.0
2011-05-12,10500.0
2011-05-13,10500.0
2011-05-16,10400.0
2011-05-17,10400.0
2011-05-18,10400.0
2011-05-19,10375.0
2011-05-20,10375.0
2011-05-23,10275.0
2011-05-24,10150.0
2011-05-25,10050.0
2011-05-26,10125.0
2011-05-27,10125.0
2011-05-30,10150.0
2011-05-31,10150.0
2011-06-01,10000.0
2011-06-02,9950.0
2011-06-03,9900.0
2011-06-07,9900.0
2011-06-08,9950.0
2011-06-09,10000.0
2011-06-10,10000.0
2011-06-13,10000.0
2011-06-14,10000.0
2011-06-15,10000.0
2011-06-16,10000.0
2011-06-17,10000.0
2011-06-20,9900.0
2011-06-21,9900.0
2011-06-22,9900.0
2011-06-23,9900.0
2011-06-24,9900.0
2011-06-27,9900.0
2011-06-28,9900.0
2011-06-29,9900.0
2011-06-30,9900.0
2011-07-01,10000.0
2011-07-04,10250.0
2011-07-05,10400.0
2011-07-06,10400.0
2011-07-07,10400.0
2011-07-08,10600.0
2011-07-11,10600.0
2011-07-12,10600.0
2011-07-13,10600.0
2011-07-14,10650.0
2011-07-15,10650.0
2011-07-18,10700.0
2011-07-19,10700.0
2011-07-20,10700.0
2011-07-21,10700.0
2011-07-22,10700.0
2011-07-26,10900.0
2011-07-27,11000.0
2011-07-28,11050.0
2011-07-29,11050.0
2011-08-01,11050.0
2011-08-02,11050.0
2011-08-03,11000.0
2011-08-04,10850.0
2011-08-05,10550.0
2011-08-08,10450.0
2011-08-09,9800.0
2011-08-10,10200.0
2011-08-11,10300.0
2011-08-12,10500.0
2011-08-15,10450.0
2011-08-16,10450.0
