日期,现货（常州sg-5低端价）
2014/9/24,6000
2014/9/25,6000
2014/9/26,6000
2014/9/29,6000
2014/9/30,6000
2014/10/8,6000
2014/10/9,6000
2014/10/10,6000
2014/10/13,6000
2014/10/14,6000
2014/10/15,6000
2014/10/16,6000
2014/10/17,6000
2014/10/20,5990
2014/10/21,5990
2014/10/22,5990
2014/10/23,5980
2014/10/24,5980
2014/10/27,5980
2014/10/28,5980
2014/10/29,5980
2014/10/30,5980
2014/10/31,5980
2014/11/3,5980
2014/11/4,5980
2014/11/5,5980
2014/11/6,5980
2014/11/7,5980
2014/11/10,5980
2014/11/11,5980
2014/11/12,5980
2014/11/13,5980
2014/11/14,5980
2014/11/17,5980
2014/11/18,5980
2014/11/19,5980
2014/11/20,5980
2014/11/21,5980
2014/11/24,5980
2014/11/25,5980
2014/11/26,5970
2014/11/27,5970
2014/11/28,5970
2014/12/1,5970
2014/12/2,5970
2014/12/3,5970
2014/12/4,5970
2014/12/5,5970
2014/12/8,5970
2014/12/9,5970
2014/12/10,5970
2014/12/11,5970
2014/12/12,5970
2014/12/15,5970
2014/12/16,5970
2014/12/17,5970
2014/12/18,5970
2014/12/19,5970
2014/12/22,5900
2014/12/23,5890
2014/12/24,5860
2014/12/25,5800
2014/12/26,5800
2014/12/29,5800
2014/12/30,5800
2014/12/31,5800
2015/1/5,5700
2015/1/6,5650
2015/1/7,5630
2015/1/8,5600
2015/1/9,5600
2015/1/12,5500
2015/1/13,5480
2015/1/14,5380
2015/1/15,5350
2015/1/16,5280
2015/1/19,5280
2015/1/20,5200
2015/1/21,5180
2015/1/22,5150
2015/1/23,5100
2015/1/26,5080
2015/1/27,5030
2015/1/28,5030
2015/1/29,5000
2015/1/30,4980
2015/2/2,4980
2015/2/3,4980
2015/2/4,5000
2015/2/5,5020
2015/2/6,5020
2015/2/9,5020
2015/2/10,5020
2015/2/11,5020
2015/2/12,5020
2015/2/13,5020
2015/2/16,5020
2015/2/17,5020
2015/2/25,5020
2015/2/26,5020
2015/2/27,5020
2015/3/2,5100
2015/3/3,5100
2015/3/4,5130
2015/3/5,5130
2015/3/6,5130
2015/3/9,5130
2015/3/10,5150
2015/3/11,5150
2015/3/12,5150
2015/3/13,5150
2015/3/16,5150
2015/3/17,5150
2015/3/18,5150
2015/3/19,5180
2015/3/20,5250
2015/3/23,5250
2015/3/24,5400
2015/3/25,5400
2015/3/26,5400
2015/3/27,5430
2015/3/30,5430
2015/3/31,5430
2015/4/1,5550
2015/4/2,5650
2015/4/3,5650
2015/4/7,5700
2015/4/8,5700
2015/4/9,5700
2015/4/10,5700
2015/4/13,5700
2015/4/14,5700
2015/4/15,5700
2015/4/16,5650
2015/4/17,5650
2015/4/20,5650
2015/4/21,5650
2015/4/22,5650
2015/4/23,5600
2015/4/24,5580
2015/4/27,5630
2015/4/28,5700
2015/4/29,5700
2015/4/30,5700
2015/5/4,5720
2015/5/5,5720
2015/5/6,5800
2015/5/7,5800
2015/5/8,5800
2015/5/11,5800
2015/5/12,5800
2015/5/13,5800
2015/5/14,5800
2015/5/15,5800
2015/5/18,5800
2015/5/19,5850
2015/5/20,5850
2015/5/21,5850
2015/5/22,5850
2015/5/25,5850
2015/5/26,5820
2015/5/27,5820
2015/5/28,5820
2015/5/29,5820
2015/6/1,5780
2015/6/2,5780
2015/6/3,5780
2015/6/4,5780
2015/6/5,5770
2015/6/8,5770
2015/6/9,5730
2015/6/10,5720
2015/6/11,5720
2015/6/12,5720
2015/6/15,5720
2015/6/16,5720
2015/6/17,5720
2015/6/18,5720
2015/6/19,5720
2015/6/23,5600
2015/6/24,5550
2015/6/25,5500
2015/6/26,5500
2015/6/29,5500
2015/6/30,5500
2015/7/1,5530
2015/7/2,5560
2015/7/3,5560
2015/7/6,5560
2015/7/7,5520
2015/7/8,5450
2015/7/9,5400
2015/7/10,5420
2015/7/13,5420
2015/7/14,5420
2015/7/15,5390
2015/7/16,5390
2015/7/17,5380
2015/7/20,5380
2015/7/21,5380
2015/7/22,5380
2015/7/23,5380
2015/7/24,5350
2015/7/27,5320
2015/7/28,5320
2015/7/29,5320
2015/7/30,5320
2015/7/31,5290
2015/8/3,5290
2015/8/4,5250
2015/8/5,5250
2015/8/6,5250
2015/8/7,5250
2015/8/10,5250
2015/8/11,5250
2015/8/12,5270
2015/8/13,5270
2015/8/14,5270
2015/8/17,5330
2015/8/18,5330
2015/8/19,5350
2015/8/20,5350
2015/8/21,5330
2015/8/24,5330
2015/8/25,5280
2015/8/26,5280
2015/8/27,5280
2015/8/28,5300
2015/8/31,5300
2015/9/1,5300
2015/9/2,5300
2015/9/7,5300
2015/9/8,5270
2015/9/9,5270
2015/9/10,5270
2015/9/11,5270
2015/9/14,5250
2015/9/15,5250
2015/9/16,5230
2015/9/17,5230
2015/9/18,5200
2015/9/21,5180
2015/9/22,5160
2015/9/23,5160
2015/9/24,5160
2015/9/25,5130
2015/9/28,5130
2015/9/29,5130
2015/9/30,5130
2015/10/8,5130
2015/10/9,5130
2015/10/12,5130
2015/10/13,5130
2015/10/14,5120
2015/10/15,5120
2015/10/16,5120
2015/10/19,5120
2015/10/20,5120
2015/10/21,5060
2015/10/22,5060
2015/10/23,5060
2015/10/26,5040
2015/10/27,5030
2015/10/28,5000
2015/10/29,4980
2015/10/30,4950
2015/11/2,4930
2015/11/3,4900
2015/11/4,4900
2015/11/5,4900
2015/11/6,4900
2015/11/9,4870
2015/11/10,4820
2015/11/11,4770
2015/11/12,4770
2015/11/13,4750
2015/11/16,4700
2015/11/17,4680
2015/11/18,4680
2015/11/19,4620
2015/11/20,4610
2015/11/23,4610
2015/11/24,4610
2015/11/25,4670
2015/11/26,4680
2015/11/27,4680
2015/11/30,4670
2015/12/1,4640
2015/12/2,4640
2015/12/3,4620
2015/12/4,4620
2015/12/7,4620
2015/12/8,4620
2015/12/9,4620
2015/12/10,4620
2015/12/11,4620
2015/12/14,4620
2015/12/15,4620
2015/12/16,4620
2015/12/17,4620
2015/12/18,4650
2015/12/21,4650
2015/12/22,4680
2015/12/23,4730
2015/12/24,4780
2015/12/25,4800
2015/12/28,4750
2015/12/29,4750
2015/12/30,4750
2015/12/31,4750
2016/1/4,4750
2016/1/5,4750
2016/1/6,4750
2016/1/7,4750
2016/1/8,4750
2016/1/11,4750
2016/1/12,4710
2016/1/13,4710
2016/1/14,4710
2016/1/15,4710
2016/1/18,4710
2016/1/19,4710
2016/1/20,4710
2016/1/21,4710
2016/1/22,4710
2016/1/25,4810
2016/1/26,4870
2016/1/27,4870
2016/1/28,4870
2016/1/29,4870
2016/2/1,4750
2016/2/2,4750
2016/2/3,4750
2016/2/4,4750
2016/2/5,4750
2016/2/15,4900
2016/2/16,4950
2016/2/17,4950
2016/2/18,4950
2016/2/19,4950
2016/2/22,5050
2016/2/23,5090
2016/2/24,5150
2016/2/25,5150
2016/2/26,5150
2016/2/29,5150
2016/3/1,5140
2016/3/2,5140
2016/3/3,5140
2016/3/4,5140
2016/3/7,5190
2016/3/8,5190
2016/3/9,5160
2016/3/10,5200
2016/3/11,5270
2016/3/14,5330
2016/3/15,5330
2016/3/16,5350
2016/3/17,5430
2016/3/18,5450
2016/3/21,5450
2016/3/22,5450
2016/3/23,5450
2016/3/24,5450
2016/3/25,5430
2016/3/28,5350
2016/3/29,5340
