date,MOPJ
2009/6/12,613.84
2009/6/15,620.07
2009/6/16,628.08
2009/6/17,620.52
2009/6/18,622.74
2009/6/19,621.41
2009/6/22,598.71
2009/6/23,598.71
2009/6/24,586.25
2009/6/25,611.17
2009/6/26,620.96
2009/6/29,604.05
2009/6/30,629.86
2009/7/1,627.19
2009/7/2,607.61
2009/7/6,607.61
2009/7/7,584.47
2009/7/8,582.25
2009/7/9,555.1
2009/7/10,557.77
2009/7/13,545.76
2009/7/14,556.44
2009/7/15,551.54
2009/7/16,547.54
2009/7/17,558.22
2009/7/20,582.69
2009/7/21,582.69
2009/7/22,585.81
2009/7/23,583.58
2009/7/24,602.72
2009/7/27,639.65
2009/7/28,622.3
2009/7/29,622.3
2009/7/30,580.02
2009/7/31,600.49
2009/8/3,597.82
2009/8/4,638.49
2009/8/5,655.23
2009/8/6,668.13
2009/8/7,658.79
2009/8/10,662.61
2009/8/11,655.23
2009/8/12,635.9
2009/8/13,641.25
2009/8/14,623.89
2009/8/17,620.78
2009/8/18,600.75
2009/8/19,633.54
2009/8/20,643.68
2009/8/21,638.22
2009/8/24,643
2009/8/25,633
2009/8/26,636
2009/8/27,628.5
2009/8/28,641
2009/8/31,637
2009/9/1,626
2009/9/2,609.75
2009/9/3,625
2009/9/4,606.5
2009/9/8,611.5
2009/9/9,627.75
2009/9/10,626
2009/9/11,628
2009/9/14,608
2009/9/15,609
2009/9/16,621
2009/9/17,638
2009/9/18,627
2009/9/21,627
2009/9/22,616.5
2009/9/23,613
2009/9/24,597
2009/9/25,578.5
2009/9/28,578.5
2009/9/29,571.5
2009/9/30,573
2009/10/1,596.5
2009/10/2,596.5
2009/10/5,594
2009/10/6,607.48
2009/10/7,611.07
2009/10/8,600.83
2009/10/9,606.17
2009/10/12,604.18
2009/10/13,616.18
2009/10/14,624.43
2009/10/15,633.98
2009/10/16,647.89
2009/10/19,662.57
2009/10/20,666.13
2009/10/21,664.8
2009/10/22,684.26
2009/10/23,689.89
2009/10/26,691.67
2009/10/27,684.55
2009/10/28,679.83
2009/10/29,665.93
2009/10/30,673.94
2009/11/2,661.69
2009/11/3,665.25
2009/11/4,680.04
2009/11/5,678.71
2009/11/6,683.71
2009/11/9,679.71
2009/11/10,682.36
2009/11/11,685.06
2009/11/12,687.17
2009/11/13,682.72
2009/11/16,687.72
2009/11/17,693.72
2009/11/18,711.07
2009/11/19,706.45
2009/11/20,695.96
2009/11/23,697.85
2009/11/24,697.73
2009/11/25,693.06
2009/11/27,703.98
2009/11/30,712.52
2009/12/1,703.62
2009/12/2,709.41
2009/12/3,695.41
2009/12/4,699.96
2009/12/7,697.29
2009/12/8,697.29
2009/12/9,697.96
2009/12/10,675.42
2009/12/11,665.26
2009/12/14,659.26
2009/12/15,671.02
2009/12/16,672.59
2009/12/17,673.26
2009/12/18,660.91
2009/12/21,673.31
2009/12/22,664.43
2009/12/23,662.15
2009/12/24,676.72
2009/12/28,675.72
2009/12/29,693.27
2009/12/30,717.57
2009/12/31,723.72
2010/1/4,728.81
2010/1/5,737.94
2010/1/6,737.47
2010/1/7,745.59
2010/1/8,748.17
2010/1/11,760.5
2010/1/12,748.21
2010/1/13,727.35
2010/1/14,735.53
2010/1/15,732.22
2010/1/19,715.46
2010/1/20,716.89
2010/1/21,714.21
2010/1/22,704.41
2010/1/25,691.52
2010/1/26,690.41
2010/1/27,688.06
2010/1/28,682.93
2010/1/29,674.82
2010/2/1,657.59
2010/2/2,668.92
2010/2/3,703.71
2010/2/4,702.4
2010/2/5,672.15
2010/2/8,653.91
2010/2/9,702.13
2010/2/10,665.13
2010/2/11,668.81
2010/2/12,663.81
2010/2/16,663.81
2010/2/17,682.81
2010/2/18,681.81
2010/2/19,691.61
2010/2/22,710.73
2010/2/23,720.34
2010/2/24,707.91
2010/2/25,713.22
2010/2/26,702.89
2010/3/1,716.51
2010/3/2,711.09
2010/3/3,720.75
2010/3/4,720.08
2010/3/5,727.19
2010/3/8,726.6
2010/3/9,723.33
2010/3/10,726
2010/3/11,730.93
2010/3/12,726.08
2010/3/15,720.7
2010/3/16,732.21
2010/3/17,732.21
2010/3/18,732.7
2010/3/19,711
2010/3/22,719.18
2010/3/23,727
2010/3/24,712
2010/3/25,718
2010/3/26,713
2010/3/29,734
2010/3/30,729
2010/3/31,730
2010/4/1,730
2010/4/5,735
2010/4/6,744
2010/4/7,741
2010/4/8,735
2010/4/9,737
2010/4/12,748
2010/4/13,741
2010/4/14,759
2010/4/15,758
2010/4/16,744
2010/4/19,739
2010/4/20,757
2010/4/21,758
2010/4/22,752
2010/4/23,764
2010/4/26,763.9
2010/4/27,764
2010/4/28,760
2010/4/29,771
2010/4/30,773
2010/5/3,779
2010/5/4,766
2010/5/5,747.1
2010/5/6,732.3
2010/5/7,710.65
2010/5/10,731.65
2010/5/11,726.35
2010/5/12,728
2010/5/13,736.2
2010/5/14,710.75
2010/5/17,684
2010/5/18,688
2010/5/19,668
2010/5/20,638.8
2010/5/21,650
2010/5/24,643.15
2010/5/25,621.45
2010/5/26,633.7
2010/5/27,663
2010/5/28,664.45
2010/6/1,661.75
