,净值,杠杆倍数,每日PnL,资金占用比例
2015-03-09,0.90848,0.93548,-840.0,0.07208039802747447
2015-03-10,0.9134599999999999,0.97326,4980.0,0.0745825761390756
2015-03-11,0.91134,1.02714,-2120.0,0.07889459477253276
2015-03-12,0.9077999999999999,1.0346,-3540.0,0.0797774840273188
2015-03-13,0.90966,0.98606,1860.0,0.0758791196710859
2015-03-16,0.90766,1.03856,-2000.0,0.08009518982879052
2015-03-17,0.9059,0.9343,-1760.0,0.07219450270449276
2015-03-18,0.91192,1.05992,6020.0,0.08136064567067287
2015-03-19,0.91004,1.05784,-1880.0,0.08136873104478924
2015-03-20,0.91386,1.05306,3820.0,0.08066246471013065
2015-03-23,0.9001399999999999,1.05874,-13720.0,0.08233363698980159
2015-03-24,0.89596,1.02776,-4180.0,0.08029733470244207
2015-03-25,0.89644,1.04594,480.0,0.0816739547543617
2015-03-26,0.90236,1.04386,5920.0,0.08097677202003635
2015-03-27,0.90232,1.03382,-40.0,0.08020148062771523
2015-03-30,0.9115800000000001,1.02558,9260.0,0.07875403146185744
2015-03-31,0.91622,1.01086,4640.0,0.07723057780882321
2015-04-01,0.92872,1.00316,12500.0,0.07561073305194245
2015-04-02,0.93418,0.98582,5460.0,0.07386948981994905
2015-04-03,0.93528,1.02972,1100.0,0.0770682576340775
2015-04-07,0.93215,1.04831,-3130.0,0.07872305959341308
2015-04-08,0.92156,1.00798,-10590.0,0.07656430400625028
2015-04-09,0.92986,0.992,8300.0,0.07467790850235519
2015-04-10,0.92986,1.01322,0.0,0.07627535327898823
2015-04-13,0.92435,1.04537,-5510.0,0.07916471033699357
2015-04-14,0.9202,1.01272,-4150.0,0.07703803520973702
2015-04-15,0.92053,0.99631,330.0,0.07576254983542091
2015-04-16,0.91822,1.00822,-2310.0,0.07686110082551023
2015-04-17,0.91785,1.00511,-370.0,0.07665490003813259
2015-04-20,0.91456,0.98638,-3290.0,0.07549706962911128
2015-04-21,0.91656,0.98942,2000.0,0.07556450205114776
2015-04-22,0.91009,1.00687,-6470.0,0.0774438791767847
2015-04-23,0.90651,1.00241,-3580.0,0.07740532371402413
2015-04-24,0.90205,1.03225,-4460.0,0.08010365279086525
2015-04-27,0.89761,1.05421,-4440.0,0.08221243078842706
2015-04-28,0.89744,1.01965,-170.0,0.07953233642360492
2015-04-29,0.89859,0.9918,1150.0,0.0772610422996027
2015-04-30,0.89917,1.02302,580.0,0.07964166953968661
2015-05-04,0.88843,1.03484,-10740.0,0.08153574282723457
2015-05-05,0.89259,1.02808,4160.0,0.08062559517807728
2015-05-06,0.8857,1.03599,-6890.0,0.08187794964434911
2015-05-07,0.89001,1.0225,4310.0,0.08042044471410434
2015-05-08,0.89461,1.0311,4600.0,0.08067984931981534
2015-05-11,0.88819,1.03248,-6420.0,0.0813717785608935
2015-05-12,0.88615,1.01844,-2040.0,0.0804500366755064
2015-05-13,0.89184,1.01293,5690.0,0.07950428327951203
2015-05-14,0.89238,0.99817,540.0,0.07829837064927496
2015-05-15,0.8936999999999999,1.02513,1320.0,0.08029439409197718
2015-05-18,0.89723,1.0278,3530.0,0.08018679714231579
2015-05-19,0.8982,1.01499,970.0000000000136,0.07910187040748164
2015-05-20,0.89615,1.00774,-2050.0000000000136,0.07871650951291637
2015-05-21,0.89756,1.02099,1410.0000000000045,0.0796262088328357
2015-05-22,0.89986,1.02401,2300.0,0.07965761340652992
2015-05-25,0.90167,1.0249,1810.0000000000136,0.07956680381957924
2015-05-26,0.903,1.02411,1330.0,0.07938837209302327
2015-05-27,0.90556,1.02571,2559.999999999991,0.07928762312823005
2015-05-28,0.9026,1.02555,-2960.0000000000045,0.0795352315532905
2015-05-29,0.90452,1.02851,1920.0000000000136,0.0795954760535975
2015-06-01,0.90231,1.03862,-2210.000000000009,0.08057474703815763
2015-06-02,0.90286,1.03879,550.0,0.08053884323150877
2015-06-03,0.89992,1.03007,-2940.0000000000045,0.08012367766023648
2015-06-04,0.90394,1.03397,4019.9999999999955,0.08006936301081931
2015-06-05,0.9033,1.02425,-639.9999999999955,0.07937285508690359
2015-06-08,0.90435,1.02096,1050.0000000000045,0.07902604080278655
2015-06-09,0.90253,1.02146,-1820.0000000000045,0.07922418091365385
2015-06-10,0.91193,1.0345,9399.999999999996,0.07940850723191474
2015-06-11,0.91105,1.03542,-879.9999999999909,0.07955589704187477
2015-06-12,0.91445,1.01878,3399.999999999991,0.07798633058122369
2015-06-15,0.91743,1.01688,2980.0000000000045,0.07758804486445833
2015-06-16,0.9183600000000001,1.00631,930.0000000000091,0.07670379807482904
2015-06-17,0.91051,0.99064,-7850.000000000005,0.07616039362555052
2015-06-18,0.9077000000000001,0.99361,-2809.999999999991,0.07662520656604604
2015-06-19,0.9107500000000001,0.99796,3049.9999999999864,0.07670293713972003
2015-06-23,0.9113100000000001,0.9954,560.0000000000136,0.0764591631826711
2015-06-24,0.91927,1.0018,7960.0,0.0762844430907133
2015-06-25,0.91633,0.99014,-2940.000000000009,0.07563847085656915
2015-06-26,0.91896,1.01144,2630.0,0.07704448507007923
2015-06-29,0.91833,1.00271,-630.0000000000091,0.07643189267474657
2015-06-30,0.91976,0.99216,1430.0000000000182,0.07551013307819432
2015-07-01,0.92475,1.01236,4989.999999999991,0.07663173830765073
2015-07-02,0.92791,1.01504,3159.9999999999955,0.07657294349667533
2015-07-03,0.92207,1.00952,-5840.0,0.07663886689730716
2015-07-06,0.92459,0.97412,2520.0,0.07374987832444652
2015-07-07,0.92641,0.94842,1820.0000000000036,0.07166308653835776
2015-07-08,0.92213,0.93031,-4280.000000000004,0.07062095366163122
2015-07-09,0.92158,1.00024,-550.0000000000036,0.07597473903513531
2015-07-10,0.91689,0.97289,-4689.999999999995,0.07427532201245515
2015-07-13,0.91968,0.97024,2790.0000000000045,0.07384829505915103
2015-07-14,0.91703,0.96807,-2649.999999999991,0.07389605574517738
2015-07-15,0.92052,1.0043,3489.999999999991,0.07637096423760485
2015-07-16,0.9186300000000001,0.96759,-1890.0000000000045,0.0737307729989223
2015-07-17,0.91982,0.9699,1190.0000000000136,0.07381118044834861
2015-07-20,0.91837,0.99549,-1450.0000000000146,0.07587824079619326
2015-07-21,0.92193,0.9378,3560.000000000018,0.07120497217793108
2015-07-22,0.93332,0.96359,11389.999999999985,0.07227028243260618
2015-07-23,0.93234,1.00506,-979.9999999999955,0.0754598107986357
2015-07-24,0.9325,0.9993,159.99999999998636,0.07501447721179626
2015-07-27,0.93093,1.00717,-1569.9999999999955,0.07573276186179413
2015-07-28,0.93645,1.01077,5520.000000000005,0.07555544876928828
2015-07-29,0.94186,1.02706,5410.000000000005,0.07633215127513644
2015-07-30,0.93877,0.9774,-3090.0000000000045,0.07288047125493997
2015-07-31,0.94317,1.01984,4400.0,0.0756902785287912
2015-08-03,0.94025,1.01436,-2920.0000000000045,0.07551736240361608
2015-08-04,0.9406599999999999,1.02325,410.0,0.07614600386962346
2015-08-05,0.9444899999999999,1.02772,3830.0,0.076168514224608
2015-08-06,0.94772,0.98579,3230.0000000000136,0.07281190647026549
2015-08-07,0.9494,0.98251,1679.9999999999864,0.07244122603749738
2015-08-10,0.95037,0.97144,970.0000000000136,0.07155192188305608
2015-08-11,0.95505,1.01376,4680.0,0.07430312549081201
2015-08-12,0.96317,0.99129,8120.0,0.07204366830362241
2015-08-13,0.96146,0.96224,-1710.0000000000136,0.07005678863395254
2015-08-14,0.96072,0.96006,-740.0,0.06995191106669998
2015-08-17,0.95866,0.94824,-2059.9999999999955,0.0692391463083888
2015-08-18,0.96011,0.98008,1450.000000000009,0.07145597900240598
2015-08-19,0.96062,0.97627,509.9999999999818,0.0711404093189815
2015-08-20,0.96035,0.96784,-269.99999999999545,0.07054594679023272
2015-08-21,0.9628,0.97029,2450.0,0.07054455754050687
2015-08-24,0.96159,0.9326,-1209.9999999999964,0.06788964111523624
2015-08-25,0.96191,1.00618,320.00000000000455,0.07322161116944413
2015-08-26,0.9589300000000001,1.00356,-2979.9999999999955,0.07325790203664502
2015-08-27,0.96257,1.05666,3639.9999999999945,0.07684241146098467
2015-08-28,0.96723,0.95052,4659.999999999995,0.06879067026456996
2015-08-31,0.96958,0.94487,2349.999999999991,0.06821603168382187
2015-09-01,0.96754,0.98901,-2040.0,0.0715533207929388
2015-09-02,0.9704,0.94693,2860.0000000000045,0.06830698680956307
2015-09-07,0.9737,0.95917,3299.9999999999955,0.06895542774982029
2015-09-08,0.97258,0.98945,-1119.9999999999818,0.0712141931769109
2015-09-09,0.97743,0.9966,4849.999999999982,0.07137288603787485
2015-09-10,0.98077,1.00266,3340.000000000018,0.07156234387267149
2015-09-11,0.97833,0.97957,-2440.000000000009,0.07008872261915715
2015-09-14,0.97434,0.96756,-3989.999999999991,0.06951290104070447
2015-09-15,0.97532,0.97928,980.0,0.07028421441168027
2015-09-16,0.97663,0.99097,1309.9999999999864,0.07102782015707075
2015-09-17,0.9751299999999999,0.98687,-1500.0,0.0708427594269482
2015-09-18,0.97465,0.98435,-480.00000000000455,0.07069666033960909
2015-09-21,0.98355,0.98445,8900.000000000004,0.07006405368308678
2015-09-22,0.98099,0.97651,-2560.0,0.06968032293907177
2015-09-23,0.9748,0.9729,-6189.999999999991,0.0698635617562577
2015-09-24,0.97566,1.00766,859.999999999983,0.07229588176208926
2015-09-25,0.9787399999999999,1.00938,3080.0,0.07219138892862252
2015-09-28,0.97625,0.99217,-2489.9999999999773,0.07114151088348272
2015-09-29,0.97989,1.02183,3639.9999999999945,0.0729960505771056
2015-09-30,0.97981,1.01961,-80.0,0.07284340841591738
2015-10-08,0.98271,1.02301,2899.9999999999886,0.07287063324887302
2015-10-09,0.98757,1.0038,4860.0000000000055,0.07115039946535436
2015-10-12,0.97715,0.98912,-10420.0,0.07085749373177097
2015-10-13,0.97712,0.98555,-30.000000000005684,0.07060391763550027
2015-10-14,0.97949,0.97848,2370.0,0.06992781957957714
2015-10-15,0.97865,0.97772,-840.0,0.06993347979359323
2015-10-16,0.97947,0.9732,820.0,0.0695519005176269
2015-10-19,0.984,1.00707,4530.0,0.07164115853658537
2015-10-20,0.98813,0.97014,4130.0000000000055,0.0687255725461225
2015-10-21,0.98525,0.96672,-2879.9999999999945,0.0686834813499112
2015-10-22,0.98855,1.00512,3299.9999999999886,0.07117333468211016
2015-10-23,0.99362,1.00335,5070.000000000017,0.07068547331978021
2015-10-26,0.9983,0.99293,4679.999999999983,0.06962345988179906
2015-10-27,0.99719,0.99186,-1109.9999999999716,0.06962584863466341
2015-10-28,0.99856,0.98219,1369.9999999999773,0.06885244752443519
2015-10-29,0.99703,0.9818,-1530.0000000000114,0.06893072425102556
2015-10-30,0.99946,0.98119,2430.0000000000227,0.06872040902087127
2015-11-02,1.00089,0.9782,1429.9999999999945,0.06841311233002628
2015-11-03,1.00936,0.97037,8470.000000000005,0.06729600935246098
2015-11-04,1.00784,0.97235,-1520.0000000000286,0.06753502540085729
2015-11-05,1.01188,0.96739,4040.0000000000055,0.06692226350950707
2015-11-06,1.01224,0.97077,360.0000000000057,0.06713220184936379
2015-11-09,1.00942,0.96165,-2820.0,0.06668730558142301
2015-11-10,1.01344,0.96283,4020.0000000000114,0.06650428244395327
2015-11-11,1.013,0.95327,-440.00000000000546,0.0658725567620928
2015-11-12,1.00993,0.98122,-3069.9999999999945,0.06801006010317548
2015-11-13,1.01233,0.98496,2399.999999999993,0.0681074353224739
2015-11-16,1.01219,0.98264,-140.00000000000682,0.06795641134569597
2015-11-17,1.01789,0.99757,5700.0,0.06860259949503385
2015-11-18,1.01773,0.98897,-160.00000000000682,0.06802187220579133
2015-11-19,1.00914,0.9621,-8589.999999999973,0.0667370236042571
2015-11-20,1.01013,0.98049,989.9999999999727,0.06794600694960055
